id,modulo_id,modulo,tela,rota,finalidade,acoes,desktop,tema,estados,dados,observacoes
1,01,Autenticação,Login,/login,Entrar na conta,Entrar;Recuperar senha;Criar conta,1440+ responsivo,Claro + Escuro,loading;vazio;erro;sucesso,API/Firestore reais,Sem ação visual sem destino; validar permissões e persistência.
2,01,Autenticação,Criar conta,/cadastro,Cadastro de novo usuário,Criar;Validar dados;Aceitar termos,1440+ responsivo,Claro + Escuro,loading;vazio;erro;sucesso,API/Firestore reais,Sem ação visual sem destino; validar permissões e persistência.
3,01,Autenticação,Recuperar senha,/recuperar-senha,Solicitar recuperação,Enviar código,1440+ responsivo,Claro + Escuro,loading;vazio;erro;sucesso,API/Firestore reais,Sem ação visual sem destino; validar permissões e persistência.
4,01,Autenticação,Redefinir senha,/redefinir-senha,Definir nova senha,Salvar senha,1440+ responsivo,Claro + Escuro,loading;vazio;erro;sucesso,API/Firestore reais,Sem ação visual sem destino; validar permissões e persistência.
5,01,Autenticação,Verificar e-mail,/verificar-email,Confirmar e-mail,Reenviar código;Confirmar,1440+ responsivo,Claro + Escuro,loading;vazio;erro;sucesso,API/Firestore reais,Sem ação visual sem destino; validar permissões e persistência.
6,01,Autenticação,Verificar telefone,/verificar-telefone,Confirmar telefone,Enviar código;Confirmar,1440+ responsivo,Claro + Escuro,loading;vazio;erro;sucesso,API/Firestore reais,Sem ação visual sem destino; validar permissões e persistência.
7,01,Autenticação,Código de confirmação,/confirmacao,Validar código,Confirmar;Reenviar,1440+ responsivo,Claro + Escuro,loading;vazio;erro;sucesso,API/Firestore reais,Sem ação visual sem destino; validar permissões e persistência.
8,01,Autenticação,Autenticação 2FA,/seguranca/2fa,Segundo fator,Validar;Usar método alternativo,1440+ responsivo,Claro + Escuro,loading;vazio;erro;sucesso,API/Firestore reais,Sem ação visual sem destino; validar permissões e persistência.
9,01,Autenticação,Escolher método 2FA,/seguranca/2fa/metodo,Selecionar método,Aplicativo;SMS;E-mail,1440+ responsivo,Claro + Escuro,loading;vazio;erro;sucesso,API/Firestore reais,Sem ação visual sem destino; validar permissões e persistência.
10,01,Autenticação,Códigos de backup,/seguranca/2fa/backup,Gerenciar códigos de recuperação,Gerar;Copiar;Baixar,1440+ responsivo,Claro + Escuro,loading;vazio;erro;sucesso,API/Firestore reais,Sem ação visual sem destino; validar permissões e persistência.
11,01,Autenticação,Sessões e dispositivos,/seguranca/sessoes,Controlar sessões,Encerrar sessão;Ver dispositivo,1440+ responsivo,Claro + Escuro,loading;vazio;erro;sucesso,API/Firestore reais,Sem ação visual sem destino; validar permissões e persistência.
12,01,Autenticação,Conta bloqueada,/conta/bloqueada,Orientar desbloqueio,Recorrer;Ajuda,1440+ responsivo,Claro + Escuro,loading;vazio;erro;sucesso,API/Firestore reais,Sem ação visual sem destino; validar permissões e persistência.
13,01,Autenticação,Conta desativada,/conta/desativada,Exibir conta desativada,Recorrer;Ajuda,1440+ responsivo,Claro + Escuro,loading;vazio;erro;sucesso,API/Firestore reais,Sem ação visual sem destino; validar permissões e persistência.
14,01,Autenticação,Conta suspensa,/conta/suspensa,Exibir suspensão,Recorrer;Ver motivo,1440+ responsivo,Claro + Escuro,loading;vazio;erro;sucesso,API/Firestore reais,Sem ação visual sem destino; validar permissões e persistência.
15,01,Autenticação,Central de Contas,/central-contas,Gerenciar contas vinculadas,Adicionar;Remover;Configurar,1440+ responsivo,Claro + Escuro,loading;vazio;erro;sucesso,API/Firestore reais,Sem ação visual sem destino; validar permissões e persistência.
16,01,Autenticação,Preferências da conta,/configuracoes/conta,Preferências gerais,Salvar,1440+ responsivo,Claro + Escuro,loading;vazio;erro;sucesso,API/Firestore reais,Sem ação visual sem destino; validar permissões e persistência.
17,01,Autenticação,Confirmação de identidade,/seguranca/identidade,Validar identidade,Enviar documento;Status,1440+ responsivo,Claro + Escuro,loading;vazio;erro;sucesso,API/Firestore reais,Sem ação visual sem destino; validar permissões e persistência.
18,01,Autenticação,Termos e privacidade,/legal/termos,Consultar termos,Abrir documentos,1440+ responsivo,Claro + Escuro,loading;vazio;erro;sucesso,API/Firestore reais,Sem ação visual sem destino; validar permissões e persistência.
